smiles,p_activity
CC(C)C(C#Cc1cccc(c1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,7.958607314841775
CC(C)CC(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F,9.309803919971486
CC(C)CC(C#Cc1cccc(c1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,8.301029995663981
CC(C)CCNC(=O)C1CCC(CNS(=O)(=O)c2ccc(NC(C)=O)cc2)CC1,7.735182176990463
CC(C)CCNC(=O)C1CCN(CC1)S(=O)(=O)c1c(C)cc(C)cc1C,7.600326278518962
CC(C)CCNC(=O)c1ccc(CN2CCN(CC2)C(=O)[C@@H]2C[C@H]2c2ccccc2)s1,9.364516253185087
CC(C)CCNC(=O)c1ccc(CN2CCN(CC2)C(=O)c2ccnn2C(F)F)s1,8.525783735923746
CC(C)CCNC(=O)c1ccc(CN2CCN(CC2)C(=O)c2oc3ccc(Br)cc3c2C)s1,7.5951662833800615
CC(C)CCOc1ccc(NC(=O)Nc2ccc(OCCC(C)C)cc2)cc1,8.187086643357144
CC(C)CNC(=O)C1CCN(CC1)S(=O)(=O)c1ccc(C)cc1C,7.7447274948966935
CC(C)CNC(=O)CCC(=O)NC(C)C12CC3CC(CC(C3)C1)C2,7.292429823902063
CC(C)CNC(=O)CCC(=O)NC12CC3CC(C)(CC(C)(C3)C1)C2,4.723170694656611
CC(C)CNC(=O)CCCC(=O)NC(C)C12CC3CC(CC(C3)C1)C2,5.135370275454488
CC(C)CNC(=O)CCCC(=O)NC12CC3CC(C)(CC(C)(C3)C1)C2,5.205790883653504
CC(C)CNC(=O)CCCC(=O)NC1C2CC3CC(C2)CC1C3,5.445874418486987
CC(C)CNC(=O)CCCC(=O)NC1C2CC3CC1CC(O)(C3)C2,7.376750709602099
CC(C)CNC(=O)\C=C\C(=O)NC12CC3CC(C)(CC(C)(C3)C1)C2,5.0165992618194615
CC(C)CNC(=O)c1ccc(NC(=O)NC(C)C23CC4CC(CC(C4)C2)C3)cc1,7.221848749616356
CC(C)CNC(=O)c1ccc(NC(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)cc1,9.154901959985743
CC(C)CNC(=O)c1ccc(NC(=O)NC23CC4CC(CC(O)(C4)C2)C3)cc1,6.022733787572707
CC(C)CNC(=O)c1ccc(NC(=O)NC2C3CC4CC(C3)CC2C4)cc1,9.045757490560675
CC(C)CNC(=O)c1ccc(NC(=O)NC2C3CC4CC2CC(O)(C4)C3)cc1,6.603800652904264
CC(C)CNc1nc(NC[C@H](C)c2ccccc2)nc(NC2CCC(CC2)C(=O)NCc2ccc(cc2)C(O)=O)n1,7.42021640338319
CC(C)COC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,7.2958494831602
CC(C)COP(=O)(OCC(C)C)C(Nc1ccc(CNC(=O)C23CC4CC(CC(C4)C2)C3)cc1)C(C)(C)C,7.795880017344075
CC(C)COP(=O)(OCC(C)C)C(Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1)C(C)(C)C,8.744727494896694
CC(C)CS(=O)(=O)N1CCC(CC1)C(=O)NC1CCCCCC1,6.017728766960431
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(O)=O,6.055517327849831
CC(C)Cn1ccc2cc(ccc12)C(=O)NCc1ccc(CS(=O)(=O)C2CC2)cc1C(F)(F)F,8.698970004336019
CC(C)N1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1,8.397940008672037
CC(C)N1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)cc1,8.698970004336019
CC(C)N1CCN(CC1)C(=O)c1cccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)c1,7.823908740944319
CC(C)N1CCN(CC1)S(=O)(=O)c1ccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)cc1,8.301029995663981
CC(C)N1CCN(CC1)S(=O)(=O)c1cccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)c1,8.522878745280337
CC(C)NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,7.288614620901548
CC(C)NC(=O)N1CCC(CC1)c1cc(C)nn1-c1ccc(cc1)S(C)(=O)=O,4.866237615212654
CC(C)NC(=O)N1CCC(CC1)c1cc(C)nn1-c1ccc(cc1)S(N)(=O)=O,4.652552887352029
CC(C)NC(=O)NC1C2CC3CC(C2)CC1C3,7.073657553374344
CC(C)Nc1c(nc2ccc(C)cn12)-c1ccc(OCC2CCN(CC2)C(=O)Nc2ccc(Cl)cc2)cc1,7.187086643357144
CC(C)Nc1nc(C)nc(n1)N1CCC(CC1)C(=O)NCc1ccccc1C(F)(F)F,8.259637310505756
